original_index,is_outlier,begruendung,zielspalten_bewertet
15,True,"Die Anzahl der Views (17.472) ist im Verhältnis zu den Votes (15) und Replies (68) extrem hoch und deutet auf ein ungewöhnliches Engagement-Muster hin. Bei einer so stark betrachteten Smart-Cam mit 20% Rabatt wäre normalerweise deutlich mehr Voting-Aktivität zu erwarten, da das View-to-Vote-Verhältnis von über 1000:1 weit außerhalb des typischen Rahmens liegt.","['replies', 'views', 'votes']"
16,False,"Das Engagement ist für diesen Kontext plausibel: Ein stapelbarer Dell-Rabattcoupon (15% + 10% + 6% Cashback) in der Kategorie Computers & Electronics mit 'HOT'-Markierung rechtfertigt 112 Antworten, 18.569 Views und 36 Votes, da solche Deal-Kombinationen hohe Aufmerksamkeit und Diskussionen über Anwendbarkeit und Optimierung erzeugen.","['replies', 'views', 'votes']"
17,False,"Ein höhenverstellbarer Tisch von Costco für $24.99 statt $65+ ist ein attraktives Möbelangebot mit starker Ersparnis (~62%). Die 13.518 Views, 31 Replies und 40 Votes sind für einen solchen Deal im Home & Garden/Furniture-Bereich plausibel und spiegeln das erwartbare Interesse an einem preiswerten, praktischen Möbelstück wider.","['replies', 'views', 'votes']"
18,False,"Ein Lebensmittel-Deal (Chips) bei Amazon.ca mit moderatem Preis zeigt mit 2444 Views, 11 Replies und 0 Votes ein plausibles Engagement-Muster. Die neutrale Vote-Zahl bei vorhandener Diskussion und soliden Views deutet auf ein durchschnittliches Interesse ohne starke Polarisierung hin, was für einen Standard-Grocery-Deal typisch ist.","['replies', 'views', 'votes']"
19,False,"Das Engagement (5 Antworten, 2710 Aufrufe, 25 Votes) ist für ein Smart-Home-Produkt im Elektronikbereich bei Amazon.ca im erwartbaren Rahmen. Der Preis von 29.99 CAD für eine wetterfeste Smart-Steckdose mit zwei Ausgängen ist attraktiv genug, um moderates Interesse zu wecken, ohne außergewöhnlich viral zu sein.","['replies', 'views', 'votes']"
20,False,"Das hohe Engagement (1611 Antworten, 402942 Aufrufe, 130 Votes) ist für einen Hypotheken-Deal mit attraktiven Festzinsen und Cashback plausibel. Finanzprodukte wie Hypotheken sind hochwertige, langfristige Entscheidungen, die intensive Diskussionen und breites Interesse in der Community auslösen, besonders bei einem etablierten Anbieter wie HSBC.","['replies', 'views', 'votes']"
21,False,"Das Engagement (4 Antworten, 709 Aufrufe, 12 Votes) ist für ein attraktives Büromaterial-Angebot mit sehr niedrigem Preis ($0.10) bei einem bekannten Händler wie Staples durchaus plausibel. Solche Schnäppchen-Deals ziehen typischerweise moderate bis gute Aufmerksamkeit an, ohne viral zu gehen.","['replies', 'views', 'votes']"
22,True,"Die Zeile zeigt ein extremes Missverhältnis: 3549 Views und 7 Replies deuten auf hohes Interesse hin, aber nur 1 Vote ist für einen Clearance-Deal eines NBA-Championship-Produkts bei diesem Engagement-Level deutlich ungewöhnlich niedrig. Normalerweise würde solch ein Engagement deutlich mehr Votes (positiv oder negativ) generieren.","['replies', 'views', 'votes']"
23,False,"Ein 50%-Rabatt auf das gesamte Sortiment bei einer Marken-Schließung (Clarisonic war eine bekannte Beauty-Marke) ist ein außergewöhnliches Ereignis, das hohes Interesse rechtfertigt. Die 26.067 Views, 70 Replies und 23 Votes sind für einen solchen 'Shutting Down Sale' einer etablierten Marke im Beauty-Bereich durchaus plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
24,True,Die Kombination aus sehr hohen Views (2776) und vielen Replies (8) bei nur 1 Vote ist im Kontext eines einfachen Kaffeetassen-Angebots deutlich ungewöhnlich. Für ein Haushaltsprodukt mit moderatem Rabatt (33%) würde man bei dieser hohen Aufmerksamkeit deutlich mehr Votes erwarten.,"['replies', 'views', 'votes']"
25,False,"Das Engagement ist für einen Deal mit kostenlosem Versand und 16% Rabatt auf Bücher plausibel. 12.540 Views, 45 Antworten und 29 Votes passen zu einem attraktiven, breit interessierenden Angebot in der Entertainment-Kategorie, das Diskussionen über Buchtipps und Bestellerfahrungen auslösen kann.","['replies', 'views', 'votes']"
26,False,"Das hohe Engagement (725 Antworten, 95.676 Aufrufe, 116 Votes) ist für ein American Express Cashback-Angebot mit potenziellem Gesamtwert von $50 (10x $5 bei $10 Ausgabe) absolut plausibel. Solche wiederkehrenden Finanzangebote mit direktem Geldvorteil erzeugen typischerweise intensive Diskussionen über Nutzungsstrategien, Teilnahmebedingungen und Erfahrungsaustausch in Deal-Communities.","['replies', 'views', 'votes']"
27,False,"Das Engagement (33 Antworten, 9051 Aufrufe, 26 Votes) ist für einen Deal über Olympic Gewichtsplatten in verschiedenen Größen plausibel. Fitness-Equipment, insbesondere Gewichte, hat eine engagierte Zielgruppe, und die detaillierte Preisauflistung für verschiedene Gewichtsklassen lädt zu Diskussionen und Vergleichen ein, was die moderate bis hohe Interaktion gut erklärt.","['replies', 'views', 'votes']"
28,False,"Das Engagement ist im Kontext plausibel: Ein hochpreisiger Durchlauferhitzer mit starker Preisreduktion (von $964 auf $289, ca. 70% Rabatt) bei Home Depot rechtfertigt hohes Interesse (16.725 Views) und Diskussionsbedarf (48 Replies). Die moderaten 5 Votes bei hoher View-Zahl sind typisch für YMMV-Deals (Your Mileage May Vary), da Verfügbarkeit unsicher ist.","['replies', 'views', 'votes']"
29,False,"Ein 50%-Rabatt auf das gesamte Sortiment bei einer Marken-Schließung (Clarisonic war eine bekannte Beauty-Marke) ist ein außergewöhnliches Ereignis, das hohes Interesse rechtfertigt. Die 26.102 Views, 70 Replies und 23 Votes sind für einen solchen 'Shutting Down Sale' einer etablierten Marke im Beauty-Bereich durchaus plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
30,True,"Die Zeile zeigt ein deutliches Missverhältnis: 2810 Views und 8 Replies deuten auf erhebliches Interesse hin, während nur 1 Vote extrem niedrig ist für diese Engagement-Intensität. Bei einem Deal mit 33% Rabatt und dieser Reichweite wäre normalerweise deutlich mehr Voting-Aktivität zu erwarten.","['replies', 'views', 'votes']"
31,False,"Das Engagement ist für einen Deal mit kostenlosem Versand und 16% Rabatt auf Bücher plausibel. Die hohen Views (12549) und moderaten Replies (45) sowie positiven Votes (29) passen zu einem attraktiven, breit interessierenden Angebot in der Unterhaltungskategorie.","['replies', 'views', 'votes']"
32,False,"Das Engagement ist im Kontext plausibel: Ein hochpreisiger Durchlauferhitzer mit starker Preisreduktion (von $964 auf $289, ca. 70% Rabatt) bei Home Depot rechtfertigt hohes Interesse (16.764 Views) und Diskussionsbedarf (48 Replies). Die moderaten 5 Votes passen zu einem YMMV-Deal (Your Mileage May Vary), der nicht überall verfügbar ist.","['replies', 'views', 'votes']"
33,False,"Das Engagement ist für diesen Deal plausibel: Eine Philips Hue Bridge mit 72% Rabatt (von ~$70 auf $20) ist ein attraktives Smart-Home-Angebot, das Interesse weckt. Die 4105 Views, 11 Replies und 7 Votes passen zum Kontext eines wertvollen Clearance-Deals mit eingeschränkter Verfügbarkeit (YMMV).","['replies', 'views', 'votes']"
34,True,"Das Engagement zeigt eine extreme Diskrepanz: 13.708 Views und 67 Replies deuten auf hohes Interesse hin, aber nur 1 Vote ist für einen Telecom-Deal mit attraktiven Konditionen (erster Monat gratis + Referral-Bonus) und dieser Reichweite ungewöhnlich niedrig. Normalerweise würde solch intensives Engagement auch in deutlich mehr Votes resultieren.","['replies', 'views', 'votes']"
35,False,"Ein Bonus-Event bei Shoppers Drug Mart in der Kategorie Groceries erzeugt erwartbar hohes Interesse, da solche Events für viele Kunden relevant sind und Sparpotenzial bieten. Die Werte (113 Antworten, 29.334 Aufrufe, 67 Votes) sind für ein wiederkehrendes Shopping-Event mit breiter Zielgruppe plausibel und im normalen Rahmen.","['replies', 'views', 'votes']"
36,False,"Ein Waschmittel-Deal für 100 Waschladungen zu $5.97 ist ein sehr attraktives Angebot mit starkem Preis-Leistungs-Verhältnis. Das hohe Engagement (9909 Views, 33 Replies, 61 Votes) ist für einen solchen Haushalts-Deal mit breiter Zielgruppe und klarem Sparpotenzial völlig plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
37,False,"Ein Werkzeug-Set von Ryobi mit 48% Rabatt bei Home Depot für ~$51 ist ein attraktives Angebot für Heimwerker. Die 17.182 Views, 81 Antworten und 16 Votes sind im Kontext eines soliden Tool-Deals mit gutem Preisnachlass plausibel und nicht ungewöhnlich.","['replies', 'views', 'votes']"
38,False,"Eine 12-Zoll-Gusseisenpfanne für ~22 CAD ist ein solides Haushaltsangebot, das moderate Aufmerksamkeit (1762 Views, 6 Replies) rechtfertigt. Die neutralen Votes (0) deuten auf ein durchschnittlich interessantes Angebot hin, das weder besonders herausragend noch unattraktiv ist – das Engagement passt zum Kontext.","['replies', 'views', 'votes']"
39,False,"Das Engagement (16 Antworten, 4897 Aufrufe, 19 Votes) ist für ein Tablet-Angebot bei Walmart mit 48% Rabatt und einem Preis von $169.99 plausibel und im erwartbaren Rahmen. Solche Elektronik-Deals mit substantieller Ersparnis ziehen typischerweise moderates bis gutes Interesse an, was hier der Fall ist.","['replies', 'views', 'votes']"
40,False,"Eine steuerfreie Woche bei Real Canadian Superstore ist ein relevantes Angebot für viele Kunden, das moderate Aufmerksamkeit (3384 Views, 9 Replies, 5 Votes) rechtfertigt. Das Engagement-Niveau passt zum Kontext eines zeitlich begrenzten, breit angelegten Aktionsangebots eines großen Einzelhändlers.","['replies', 'views', 'votes']"
41,False,"Eine 500GB SSD für ca. 62 Dollar ist ein solides Standardangebot im Elektronikbereich, das moderates Interesse rechtfertigt. Die 2413 Views, 9 Replies und 2 Votes liegen im erwartbaren Rahmen für ein durchschnittliches Hardware-Angebot ohne außergewöhnliche Ersparnis.","['replies', 'views', 'votes']"
42,False,"Das Engagement ist für einen Lightning Deal bei Sonnenschutz-Produkten auf Amazon.ca im erwartbaren Rahmen. 11 positive Votes, 2 Antworten und 1426 Views passen zu einem zeitlich begrenzten Angebot im Beauty-Bereich mit moderatem Interesse.","['replies', 'views', 'votes']"
43,False,"Das Engagement (899 Views, 8 Votes, 1 Reply) ist für einen günstigen Schulrucksack mit 55% Rabatt auf Amazon.ca angemessen. Der niedrige Preis und die hohe Ersparnis rechtfertigen die moderate Aufmerksamkeit, während die begrenzte Interaktion (nur 1 Antwort) typisch für ein einfaches Produktangebot ohne kontroverse Aspekte ist.","['replies', 'views', 'votes']"
44,False,"Ein kostenloses Jahresticket für Frontline-Worker bei einer Kultureinrichtung (AGO - Art Gallery of Ontario) ist ein sozial relevantes und attraktives Angebot, das naturgemäß Aufmerksamkeit und positive Resonanz erzeugt. Die Werte (30 Antworten, 6345 Aufrufe, 37 positive Votes) sind für ein solches gemeinnütziges Angebot im Entertainment-Bereich plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
45,False,"Das Engagement ist für einen Haushaltsgeräte-Deal bei Walmart im erwartbaren Rahmen. Ein elektrischer Messerschärfer für ~$20 ist ein praktisches Produkt mit breiter Zielgruppe, das moderate Aufmerksamkeit (2577 Views), einige Diskussionen (11 Replies) und positive Bewertung (6 Votes) plausibel erklärt.","['replies', 'views', 'votes']"
46,False,"Ein Nintendo eShop Geschenkkarten-Deal mit 5% Rabatt ($99 für $94) zeigt moderates, kontextangemessenes Engagement. Die 929 Views, 3 Replies und 4 Votes sind für einen soliden, aber nicht spektakulären Gaming-Deal bei Newegg plausibel und liegen im erwartbaren Rahmen.","['replies', 'views', 'votes']"
47,False,"Ein Star Wars Videospiel mit 50% Rabatt für $39.99 zeigt mit 453 Views, 1 Reply und 1 Vote ein moderates, aber kontextgerechtes Engagement. Das Interesse ist für einen Gaming-Deal mit solider Ersparnis plausibel, ohne ungewöhnlich hohe oder niedrige Werte aufzuweisen.","['replies', 'views', 'votes']"
48,False,"Ein aufblasbares Kajak für ~600$ mit 400$ Ersparnis bei Costco ist ein attraktives Sportartikel-Angebot, das plausibel 7540 Views, 28 Replies und 6 Votes generieren kann. Das Engagement-Niveau passt zu einem interessanten Deal in der Nische Sports & Fitness mit substantieller Ersparnis.","['replies', 'views', 'votes']"
49,True,"Das Verhältnis von 112 Antworten zu nur 19 Votes bei über 20.000 Views ist extrem ungewöhnlich. Normalerweise würde ein Chromebook-Deal mit so hohem Engagement (112 Replies) deutlich mehr Votes generieren, zumal die hohe View-Zahl auf breites Interesse hindeutet.","['replies', 'views', 'votes']"
50,False,"Das Engagement (5 Antworten, 1205 Aufrufe, 4 Votes) ist für einen Werkzeug-Deal mit einem Bosch-Akku zu ca. 90$ im erwartbaren Rahmen. Werkzeug-Deals sprechen eine Nischenzielgruppe an, die moderate aber solide Interaktion zeigt, was hier der Fall ist.","['replies', 'views', 'votes']"
51,False,"Das Engagement (4 Antworten, 1369 Aufrufe, 7 Votes) ist für einen Beauty-Deal mit 25% Rabatt auf ein bekanntes Markenprodukt (Burt's Bees Lippenbalsam) bei Amazon.ca durchaus plausibel. Die moderaten Interaktionswerte passen zum Kontext eines alltäglichen Beauty-Angebots mit solider, aber nicht außergewöhnlicher Ersparnis.","['replies', 'views', 'votes']"
52,False,"Das Engagement ist für diesen Kontext plausibel: Eine 500GB NVMe SSD von WD Black ist ein spezifisches Technikprodukt mit begrenzter Zielgruppe. 1153 Views zeigen solides Interesse, 2 Replies und 1 Vote sind für ein Nischenprodukt im Elektronikbereich normal und nicht auffällig niedrig oder hoch.","['replies', 'views', 'votes']"
53,False,"Eine kostenlose Sprachlern-App mit einer Ersparnis von $6.99 zeigt mit 2036 Views, 9 Replies und 22 positiven Votes ein plausibles Engagement-Niveau. Kostenlose Apps mit echtem Wert generieren typischerweise moderate bis gute Aufmerksamkeit, und die Werte liegen hier im erwartbaren Rahmen für ein solches Angebot.","['replies', 'views', 'votes']"
54,False,"Das Engagement ist für ein Smartphone-Angebot bei Costco im mittleren Preissegment plausibel: 56.067 Views zeigen starkes Interesse, 259 Replies deuten auf Diskussionen über Specs/Vergleiche hin, und 73 positive Votes reflektieren eine solide Deal-Bewertung. Das Verhältnis von hohen Views zu moderaten Votes/Replies ist typisch für Elektronik-Deals mit breitem Interesse aber selektiver Zielgruppe.","['replies', 'views', 'votes']"
55,False,"Eine Apple Back-to-School-Promotion mit kostenlosen AirPods bei Mac/iPad-Kauf ist ein hochattraktives, weitreichendes Angebot von einem Premium-Hersteller. Die hohen Werte (211.716 Views, 1.090 Replies, 136 Votes) sind für solch eine bedeutende Aktion mit breiter Zielgruppe (Studenten, Bildungssektor) vollkommen plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
56,False,"Das Engagement ist für diesen Deal plausibel: Ein 104-teiliges Bohrer-/Bit-Set für ~24 CAD mit 65% Rabatt ist ein attraktives Werkzeugangebot, das Diskussionen über Qualität, Vergleiche und Erfahrungen auslösen kann. Die 38 Antworten, 6752 Aufrufe und 11 positive Votes passen gut zu einem soliden Home-Improvement-Deal mit breiter Zielgruppe.","['replies', 'views', 'votes']"
57,True,"Das Engagement zeigt eine extreme Diskrepanz: 133 Antworten und über 21.000 Aufrufe bei nur 8 Votes sind für ein Werkzeugangebot dieser Preisklasse sehr ungewöhnlich. Normalerweise korrelieren hohe Antwort- und View-Zahlen mit deutlich höheren Vote-Werten, insbesondere bei einem spezialisierten Milwaukee-Werkzeug, das typischerweise eine engagierte Community anzieht.","['replies', 'views', 'votes']"
58,False,"Das Engagement (5 Antworten, 1508 Aufrufe, 4 Votes) ist für einen Werkzeug-Deal mit 90$ Ersparnis auf einen Luftkompressor im erwartbaren Rahmen. Die moderate Interaktion passt zu einem soliden, aber nicht außergewöhnlichen Angebot in der Home Improvement Kategorie.","['replies', 'views', 'votes']"
59,False,"Das Engagement (5 Antworten, 1513 Aufrufe, 4 Votes) ist für einen Werkzeug-Deal mit 90$ Ersparnis auf einen Luftkompressor im erwartbaren Rahmen. Die moderate Interaktion passt zu einem soliden, aber nicht außergewöhnlichen Home-Improvement-Angebot mit Nischenzielgruppe.","['replies', 'views', 'votes']"
60,True,"Bei einem einfachen Süßwaren-Deal mit minimalem Engagement (1 Reply, 1 Vote) sind 998 Views extrem ungewöhnlich hoch. Typischerweise würde ein solcher Deal mit geringer Interaktion auch deutlich weniger Aufrufe generieren, was auf eine Anomalie hindeutet.","['replies', 'views', 'votes']"
61,False,"Ein günstiges Süßigkeiten-Angebot bei Amazon.ca mit 689 Views, 0 Replies und -5 Votes ist im Kontext plausibel. Das Produkt ist relativ generisch (Süßigkeiten-Vorteilspack), der Preis nicht außergewöhnlich attraktiv, und die negativen Votes deuten darauf hin, dass die Community den Deal als nicht besonders wertvoll einstuft – entsprechend ist das geringe Engagement (keine Antworten) bei moderater Sichtbarkeit erwartbar.","['replies', 'views', 'votes']"
62,False,"Das Engagement ist im Kontext plausibel: Ein hochpreisiges PC-Hardware-Bundle ($829.99) mit moderater Ersparnis erzeugt erwartbar mittleres Interesse (2455 Views, 12 Replies). Die negativen Votes (-9) deuten auf eine kontroverse Preisbewertung hin, was bei teureren Tech-Deals durchaus normal ist.","['replies', 'views', 'votes']"
63,True,"Bei einem hochwertigen Logitech-Combo mit 32% Rabatt und sehr hoher Reichweite (6944 Views, 24 Replies) sind nur 2 Votes extrem ungewöhnlich niedrig. Das Engagement-Verhältnis deutet auf eine starke Diskrepanz zwischen Interesse/Diskussion und Bewertungsverhalten hin, die für diesen Deal-Kontext nicht plausibel ist.","['replies', 'views', 'votes']"
64,False,"Das Engagement ist für diesen Kontext plausibel: Ein hochpreisiges Fitnessprodukt ($599.99) von einem bekannten Händler (Best Buy) erzeugt erwartbar viele Views (5734) und Diskussionen (30 Replies). Die negativen Votes (-11) deuten auf Kontroverse hin, möglicherweise weil der Preis als nicht attraktiv genug empfunden wird, was bei diesem Preissegment nachvollziehbar ist.","['replies', 'views', 'votes']"
65,False,"Ein Magic Bullet 11-teiliges Set für $28 ist ein attraktiver Preis für ein bekanntes Küchengerät, was hohes Interesse erklärt. Die 13.157 Views, 47 Antworten und 34 positive Votes sind im Kontext eines guten Deals für ein beliebtes Haushaltsgerät plausibel und nicht ungewöhnlich.","['replies', 'views', 'votes']"
66,False,"Ein 12TB externes Festplattenangebot für ~$176 ist ein attraktiver Deal im Elektronikbereich, der plausibel 5779 Views, 27 Antworten und 6 positive Votes generieren kann. Das Engagement-Niveau passt gut zu einem soliden Speicher-Deal, der Interesse weckt und Diskussionen über Preis-Leistung, Zuverlässigkeit und Alternativen auslöst.","['replies', 'views', 'votes']"
67,True,"Das Verhältnis von 450 Antworten bei nur 58 Votes ist extrem ungewöhnlich – typischerweise generieren Banking-Angebote mit so vielen Diskussionsbeiträgen deutlich mehr Votes. Die hohe Anzahl an Views (138.745) und Replies deutet auf großes Interesse hin, was normalerweise mit wesentlich mehr als 58 Votes einhergehen würde.","['replies', 'views', 'votes']"
68,False,"Das Engagement (31 Antworten, 5688 Aufrufe, -1 Vote) ist für einen hochwertigen Laptop-Deal mit 50% Rabatt im erwartbaren Rahmen. Die hohe Anzahl an Views und Replies passt zur Attraktivität des Angebots (Lenovo X1 Carbon mit guter Ausstattung), während der leicht negative Vote-Wert auf gemischte Meinungen hindeutet, was bei teureren Deals oder spezifischen Zielgruppen (Student/Military) durchaus normal ist.","['replies', 'views', 'votes']"
69,True,"Ein Star Wars Mandalorian Baby Yoda Plüschtier mit 33% Rabatt erzielt 51 Antworten und über 10.000 Aufrufe, aber exakt 0 Votes. Bei diesem populären Lizenzprodukt und dem hohen Engagement wäre eine deutlich positive oder negative Vote-Zahl zu erwarten – die Null-Votes wirken im Kontext des sonst starken Interesses ungewöhnlich.","['replies', 'views', 'votes']"
70,False,"Das Engagement (20 Antworten, 6506 Aufrufe, 11 Votes) ist für eine ergonomische Wireless-Maus mit 39% Rabatt bei Amazon plausibel. Peripherie-Produkte mit soliden Rabatten erzeugen typischerweise moderates bis gutes Interesse, und die Werte liegen im erwartbaren Rahmen für diese Produktkategorie.","['replies', 'views', 'votes']"
71,False,"Ein Smart Lock für ca. $165 ist ein attraktives Tech-Produkt im Home & Garden Bereich, das hohes Interesse wecken kann. 75 Antworten, ~18k Views und 19 positive Votes sind für ein solches Produkt mit praktischem Nutzen und Diskussionspotenzial (Installation, Kompatibilität, Sicherheit) im normalen Rahmen.","['replies', 'views', 'votes']"
72,False,"Ein 20%-Rabatt-Event bei Home Depot für RYOBI-Werkzeuge ist ein attraktives Angebot für eine breite Zielgruppe (Heimwerker). Die 30.163 Views, 149 Antworten und 34 Votes sind im Kontext eines zeitlich begrenzten Marken-Events bei einem großen Händler plausibel und spiegeln normales, erhöhtes Interesse wider.","['replies', 'views', 'votes']"
73,False,"Das Engagement ist für einen Finanzdienstleistungs-Thread über Kreditkarten-Willkommensboni plausibel. Solche Themen ziehen typischerweise viele interessierte Leser an (23.616 Views), generieren ausführliche Diskussionen über Konditionen und Erfahrungen (92 Replies) und erhalten moderate positive Bewertungen (22 Votes), was dem erwartbaren Muster für finanzielle Vergleichsthemen entspricht.","['replies', 'views', 'votes']"
74,False,"Das Engagement ist für diesen Kontext plausibel: Eine Dual-Dashcam mit 90$ Ersparnis bei Amazon.ca ist ein attraktives Tech-Angebot, das Interesse weckt. 6850 Views, 31 Replies und 7 positive Votes passen gut zu einem soliden Deal in der Automotive-Kategorie mit substantieller Preisreduktion.","['replies', 'views', 'votes']"
75,False,"Ein 30%-Rabatt auf Geschenkkarten (Petro Canada u.a.) über ein Kreditkarten-Rewards-Programm ist ein attraktives Angebot, das hohes Interesse weckt. Die Werte (86 Antworten, 26.168 Aufrufe, 69 Votes) sind für solch ein wertvolles Finanzangebot im Deal-Forum plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
76,True,Die Anzahl der Views (50.410) ist im Verhältnis zu einem einfachen Stoffmasken-Angebot bei Costco für $12.99 extrem hoch und steht in keinem plausiblen Verhältnis zu den moderaten 105 Antworten und 33 Votes. Selbst bei zeitlich relevantem Kontext (z.B. Pandemie) wäre diese Diskrepanz zwischen Views und Engagement ungewöhnlich stark ausgeprägt.,"['replies', 'views', 'votes']"
77,True,Das Verhältnis von 120 Antworten bei nur 21 Votes ist extrem ungewöhnlich – typischerweise generieren Threads mit so vielen Diskussionsbeiträgen deutlich mehr Votes. Die hohe Anzahl an Views (34.201) bei vergleichsweise niedrigen Votes deutet ebenfalls auf eine Anomalie im Engagement-Muster hin.,"['replies', 'views', 'votes']"
78,False,"Das Engagement ist für einen Lululemon Herren-Hosenartikel im mittleren Preissegment ($49) plausibel. Die hohen Views (11780) bei moderaten Replies (43) und Votes (17) passen zu einem Deal, der viel Interesse weckt, aber nicht außergewöhnlich kontrovers oder extrem attraktiv ist.","['replies', 'views', 'votes']"
